service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2819699,1,1,1,1,1,0,0,20210907,20220907
2819314,1,1,1,1,1,0,0,20210907,20220907
2819807,1,1,1,1,1,0,0,20210826,20210903
2813707,1,1,1,1,1,0,0,20210907,20220907
2819316,1,1,1,1,1,0,0,20210907,20220907
2819318,1,1,1,1,1,0,0,20210907,20220907
2819315,1,1,1,1,1,0,0,20210907,20220907
2819317,1,1,1,1,1,0,0,20210907,20220907
2819319,1,1,1,1,1,0,0,20210907,20220907
2819325,1,1,1,1,1,0,0,20210820,20210903
2819322,0,0,1,1,1,0,0,20210820,20210820
2819204,1,1,1,1,1,0,0,20210823,20210903
2813714,1,1,1,1,1,0,0,20220103,20230103
2814913,1,1,1,1,1,1,1,20210507,20220903
2815366,1,1,1,1,1,1,1,20210606,20210704
2815367,1,0,0,0,0,0,0,20210705,20210705
2815361,1,1,1,1,1,1,1,20210706,20210905
2815362,1,0,0,0,0,0,0,20210906,20210906
2815363,1,1,1,1,1,1,1,20210907,20211127
2815364,0,0,0,0,0,0,1,20211128,20211128
2815365,1,1,1,1,1,1,1,20211129,20221129
2814909,1,1,1,1,1,1,1,20220101,20230101
2815374,1,1,1,1,1,1,1,20210606,20210704
2815368,1,0,0,0,0,0,0,20210705,20210705
2815369,1,1,1,1,1,1,1,20210706,20210905
2815370,1,0,0,0,0,0,0,20210906,20210906
2815371,1,1,1,1,1,1,1,20210907,20211127
2815372,0,0,0,0,0,0,1,20211128,20211128
2815373,1,1,1,1,1,1,1,20211129,20221129
2814912,1,1,1,1,1,1,1,20220101,20230101
2815382,1,1,1,1,1,1,1,20210606,20210704
2815375,1,0,0,0,0,0,0,20210705,20210705
2815376,1,1,1,1,1,1,1,20210706,20210905
2815377,1,0,0,0,0,0,0,20210906,20210906
2815378,1,1,1,1,1,1,1,20210907,20211123
2815379,0,0,1,0,0,0,1,20211124,20211128
2815380,0,0,0,1,1,1,0,20211125,20211127
2815381,1,1,1,1,1,1,1,20211129,20221129
2814914,1,1,1,1,1,1,1,20210507,20220903
2815358,1,1,1,1,1,1,1,20210606,20210704
2815359,1,0,0,0,0,0,0,20210705,20210705
2815360,1,1,1,1,1,1,1,20210706,20210905
2815354,1,0,0,0,0,0,0,20210906,20210906
2815355,1,1,1,1,1,1,1,20210907,20211127
2815356,0,0,0,0,0,0,1,20211128,20211128
2815357,1,1,1,1,1,1,1,20211129,20221129
2820013,1,1,0,1,1,1,1,20210828,20210831
2820014,1,1,1,1,1,1,1,20210901,20210913
2820015,0,1,1,0,0,0,0,20210914,20210915
2820016,1,1,1,1,1,1,1,20210916,20220916
2820006,1,1,1,1,1,1,1,20210828,20210913
2820007,0,1,1,0,0,0,0,20210914,20210915
2820008,1,1,1,1,1,1,1,20210916,20220916
2820009,1,1,1,1,1,0,0,20210828,20210903
2820010,1,1,1,1,1,0,0,20210907,20210913
2820011,0,1,1,0,0,0,0,20210914,20210915
2820012,1,1,1,1,1,0,0,20210916,20220916
2820002,1,1,1,1,1,0,0,20210828,20210903
2820003,1,1,1,1,1,0,0,20210907,20210913
2820004,0,1,1,0,0,0,0,20210914,20210915
2820005,1,1,1,1,1,0,0,20210916,20220916
2814764,0,0,0,0,0,1,1,20210508,20220903
2814765,1,0,0,0,0,0,0,20210531,20210531
2814766,1,0,0,0,0,0,0,20210705,20210705
2814767,1,0,0,0,0,0,0,20210906,20210906
2814757,0,0,0,0,0,1,1,20210508,20220903
2814758,1,0,0,0,0,0,0,20210531,20210531
2814759,1,0,0,0,0,0,0,20210705,20210705
2814760,1,0,0,0,0,0,0,20210906,20210906
2810383,1,1,1,1,1,0,0,20220103,20230103
2819375,1,1,1,0,1,0,0,20210830,20210903
2819899,0,0,0,1,0,0,0,20210902,20210902
2815506,1,1,1,1,1,0,0,20210907,20211105
2815249,1,1,1,1,1,0,0,20211108,20221108
2810338,1,1,1,1,1,0,0,20220103,20230103
2818244,1,1,1,1,1,0,0,20220103,20230103
2819906,1,1,1,1,1,0,0,20210828,20210901
2819907,0,0,0,1,0,0,0,20210902,20210902
2819908,0,0,0,0,1,0,0,20210903,20210903
2815515,1,1,1,1,1,0,0,20210907,20211105
2810535,1,1,1,1,1,0,0,20211108,20221108
2810335,1,1,1,1,1,0,0,20220103,20230103
2810469,1,1,1,1,1,0,0,20220103,20230103
2810528,1,1,1,1,1,0,0,20220103,20230103
2810466,1,1,1,1,1,0,0,20220103,20230103
2820218,1,1,1,1,1,0,0,20210828,20210901
2820220,0,0,0,0,1,0,0,20210903,20210903
2810379,1,1,1,1,1,0,0,20210907,20211105
2810380,1,1,1,1,1,0,0,20211108,20221108
2810332,1,1,1,1,1,0,0,20220103,20230103
2820215,1,1,0,1,1,0,0,20210828,20210831
2819898,0,0,1,0,0,0,0,20210901,20210901
2820217,0,0,0,0,1,0,0,20210903,20210903
2810363,1,1,1,1,1,0,0,20210907,20211105
2810364,1,1,1,1,1,0,0,20211108,20221108
2810329,1,1,1,1,1,0,0,20220103,20230103
2820213,1,1,1,1,1,0,0,20210828,20210901
2820211,0,0,0,1,0,0,0,20210902,20210902
2820212,0,0,0,0,1,0,0,20210903,20210903
2810310,1,1,1,1,1,0,0,20210907,20211105
2810311,1,1,1,1,1,0,0,20211108,20221108
2810463,1,1,1,1,1,0,0,20220103,20230103
2819903,1,1,1,1,1,0,0,20210828,20210901
2819905,0,0,0,0,1,0,0,20210903,20210903
2815512,1,1,1,1,1,0,0,20210907,20211105
2815257,1,1,1,1,1,0,0,20211108,20221108
2819891,1,1,1,1,1,0,0,20210828,20210901
2819892,0,0,0,1,0,0,0,20210902,20210902
2819893,0,0,0,0,1,0,0,20210903,20210903
2810237,1,1,1,1,1,0,0,20210907,20211105
2810238,1,1,1,1,1,0,0,20211108,20221108
2819900,1,1,1,1,1,0,0,20210828,20210901
2819902,0,0,0,0,1,0,0,20210903,20210903
2810515,1,1,1,1,1,0,0,20210907,20211105
2810516,1,1,1,1,1,0,0,20211108,20221108
2819894,1,1,1,1,1,0,0,20210828,20210901
2819895,0,0,0,1,0,0,0,20210902,20210902
2819896,0,0,0,0,1,0,0,20210903,20210903
2810299,1,1,1,1,1,0,0,20210907,20211105
2810300,1,1,1,1,1,0,0,20211108,20211231
2810301,1,1,1,1,1,0,0,20220103,20230103
2820221,1,1,1,1,1,0,0,20210828,20210901
2820223,0,0,0,0,1,0,0,20210903,20210903
2810459,1,1,1,1,1,0,0,20210907,20211105
2810460,1,1,1,1,1,0,0,20211108,20221108
2810292,1,1,1,1,1,0,0,20220103,20230103
2820224,1,1,1,1,1,0,0,20210828,20210901
2820226,0,0,0,0,1,0,0,20210903,20210903
2810512,1,1,1,1,1,0,0,20210907,20211105
2810513,1,1,1,1,1,0,0,20211108,20221108
2810229,1,1,1,1,1,0,0,20220103,20230103
2810504,1,1,1,1,1,0,0,20220103,20230103
2820205,1,1,1,1,1,0,0,20210828,20210901
2820207,0,0,0,0,1,0,0,20210903,20210903
2810226,1,1,1,1,1,0,0,20210907,20211105
2810217,1,1,1,1,1,0,0,20211108,20221108
2810499,1,1,1,1,1,0,0,20210225,20210402
2810501,1,1,1,1,1,0,0,20220103,20230103
2810241,1,1,1,1,1,0,0,20220103,20230103
2818553,1,1,1,0,1,0,0,20210830,20210903
2810549,1,1,1,1,1,0,0,20210907,20211105
2810550,1,1,1,1,1,0,0,20211108,20211231
2820202,1,1,1,1,1,0,0,20210828,20210901
2820204,0,0,0,0,1,0,0,20210903,20210903
2810212,1,1,1,1,1,0,0,20210907,20211105
2810213,1,1,1,1,1,0,0,20211108,20221108
2810436,1,1,1,1,1,0,0,20220103,20230103
2820210,1,1,1,1,1,0,0,20210828,20210901
2820209,0,0,0,0,1,0,0,20210903,20210903
2816449,1,1,1,1,1,0,0,20210907,20211105
2815441,1,1,1,1,1,0,0,20211108,20221108
2818543,1,1,1,0,1,0,0,20210830,20210903
2810325,1,1,1,1,1,0,0,20210907,20211105
2810326,1,1,1,1,1,0,0,20211108,20221108
2810450,1,1,1,1,1,0,0,20220103,20230103
2815499,1,1,1,1,1,1,1,20220101,20230101
2815502,1,1,1,1,1,1,1,20220101,20230101
2817372,1,1,1,1,1,1,1,20220101,20230101
2817371,1,1,1,1,1,1,1,20220101,20230101
2810285,1,1,1,1,1,0,0,20220103,20230103
2810493,0,0,0,0,0,1,0,20210403,20210522
2810494,0,0,0,0,0,1,0,20210529,20211106
2810495,0,0,0,0,0,0,1,20210530,20210530
2810496,0,0,0,0,0,0,1,20210704,20210704
2810497,0,0,0,0,0,0,1,20210905,20210905
2810498,0,0,0,0,0,1,0,20211113,20221113
2810437,0,0,0,0,0,0,1,20210404,20210523
2810439,1,0,0,0,0,0,0,20210531,20210531
2810440,0,0,0,0,0,0,1,20210606,20210627
2810442,1,0,0,0,0,0,0,20210705,20210705
2810443,0,0,0,0,0,0,1,20210711,20210829
2810445,1,0,0,0,0,0,0,20210906,20210906
2810446,0,0,0,0,0,0,1,20210912,20211107
2810447,0,0,0,0,0,0,1,20211114,20221114
2810361,0,0,0,0,0,1,0,20220101,20230101
2816451,0,0,0,0,0,0,1,20210725,20210829
2815508,1,0,0,0,0,0,0,20210906,20210906
2816453,0,0,0,0,0,0,1,20210912,20211107
2815253,0,0,0,0,0,0,1,20211114,20221114
2810489,0,0,0,0,0,0,1,20220102,20230102
2810353,0,0,0,0,0,1,0,20210403,20210522
2810354,0,0,0,0,0,1,0,20210529,20211106
2810355,0,0,0,0,0,0,1,20210530,20210530
2810356,0,0,0,0,0,0,1,20210704,20210704
2810357,0,0,0,0,0,0,1,20210905,20210905
2810358,0,0,0,0,0,1,0,20211113,20221113
2816455,0,0,0,0,0,0,1,20210725,20210829
2816457,1,0,0,0,0,0,0,20210906,20210906
2816458,0,0,0,0,0,0,1,20210912,20211107
2815445,0,0,0,0,0,0,1,20211114,20221114
2810351,0,0,0,0,0,0,1,20210404,20210523
2810342,1,0,0,0,0,0,0,20210531,20210531
2810343,0,0,0,0,0,0,1,20210606,20210627
2810345,1,0,0,0,0,0,0,20210705,20210705
2810346,0,0,0,0,0,0,1,20210711,20210829
2810348,1,0,0,0,0,0,0,20210906,20210906
2810349,0,0,0,0,0,0,1,20210912,20211107
2810350,0,0,0,0,0,0,1,20211114,20221114
2810341,0,0,0,0,0,0,1,20220102,20230102
2810384,0,0,0,0,0,0,1,20201129,20201129
2810206,0,0,0,0,0,0,1,20201129,20201129
2810279,0,0,0,0,0,1,0,20210403,20210403
2810280,0,0,0,0,0,1,0,20210410,20210522
2810281,0,0,0,0,0,1,0,20210529,20211106
2810282,0,0,0,0,0,1,0,20211113,20211225
2810283,0,0,0,0,0,1,0,20220101,20230101
2818550,0,0,0,0,0,1,0,20210807,20210828
2818551,0,0,0,0,0,1,0,20210904,20211106
2810426,0,0,0,0,0,0,1,20210905,20210905
2810427,0,0,0,0,0,1,0,20211113,20221113
2819111,0,0,0,0,0,0,1,20210816,20210816
2819112,0,0,0,0,0,0,1,20210822,20210822
2818541,0,0,0,0,0,0,1,20210829,20211107
2810278,1,0,0,0,0,0,0,20210906,20210906
2810272,0,0,0,0,0,0,1,20211114,20211226
2810273,0,0,0,0,0,0,1,20220102,20230102
2818548,0,0,0,0,0,1,0,20210807,20210828
2818549,0,0,0,0,0,1,0,20210904,20211106
2810425,0,0,0,0,0,0,1,20210905,20210905
2810420,0,0,0,0,0,1,0,20211113,20221113
2819108,0,0,0,0,0,1,1,20210816,20210821
2819109,0,0,0,0,0,0,1,20210822,20210822
2819110,0,0,0,0,0,1,0,20210828,20210828
2818539,0,0,0,0,0,1,1,20210829,20211107
2810269,1,0,0,0,0,0,0,20210906,20210906
2810270,0,0,0,0,0,1,1,20211113,20211226
2810271,0,0,0,0,0,1,1,20220101,20230101
2819117,0,0,0,0,0,1,1,20210816,20210821
2819118,0,0,0,0,0,0,1,20210822,20210822
2819119,0,0,0,0,0,1,1,20210828,20211107
2810418,1,0,0,0,0,0,0,20210906,20210906
2810419,0,0,0,0,0,1,1,20211113,20221113
2819105,0,0,0,0,0,1,1,20210816,20210821
2819106,0,0,0,0,0,0,1,20210822,20210822
2819107,0,0,0,0,0,1,1,20210828,20211107
2810263,1,0,0,0,0,0,0,20210906,20210906
2810256,0,0,0,0,0,1,1,20211113,20211226
2810257,0,0,0,0,0,1,1,20220101,20230101
2819115,0,0,0,0,0,0,1,20210816,20210816
2819116,0,0,0,0,0,0,1,20210822,20210822
2818547,0,0,0,0,0,0,1,20210829,20210829
2810411,1,0,0,0,0,0,0,20210906,20210906
2810412,0,0,0,0,0,0,1,20210912,20211107
2810413,0,0,0,0,0,0,1,20211114,20221114
2819103,0,0,0,0,0,0,1,20210816,20210816
2819104,0,0,0,0,0,0,1,20210822,20210822
2818537,0,0,0,0,0,0,1,20210829,20210829
2810246,1,0,0,0,0,0,0,20210906,20210906
2810247,0,0,0,0,0,0,1,20210912,20211107
2810248,0,0,0,0,0,0,1,20211114,20221114
2819113,0,0,0,0,0,0,1,20210816,20210816
2819114,0,0,0,0,0,0,1,20210822,20210822
2818545,0,0,0,0,0,0,1,20210829,20210829
2810398,1,0,0,0,0,0,0,20210906,20210906
2810399,0,0,0,0,0,0,1,20210912,20211107
2810400,0,0,0,0,0,0,1,20211114,20221114
2810204,0,0,0,0,0,0,1,20220102,20230102
2819120,0,0,0,0,0,0,1,20210816,20210816
2819121,0,0,0,0,0,0,1,20210822,20210822
2819122,0,0,0,0,0,0,1,20210829,20210829
2810484,1,0,0,0,0,0,0,20210906,20210906
2810485,0,0,0,0,0,0,1,20210912,20211107
2810486,0,0,0,0,0,0,1,20211114,20221114
2810201,0,0,0,0,0,0,1,20220102,20230102
2810475,0,0,0,0,0,0,1,20220102,20230102
2810198,0,0,0,0,0,0,1,20201129,20201129
2810389,0,0,0,0,0,0,1,20220102,20230102
2810244,0,0,0,0,0,1,0,20220101,20230101
2819389,1,1,1,1,1,1,1,20220603,20230603
2819386,1,1,1,1,1,1,1,20220603,20230603
2816282,1,1,1,1,1,1,1,20210620,20210624
2816283,1,1,1,1,1,1,1,20210625,20220903
2819423,0,0,0,0,0,1,1,20220604,20230604
2816276,1,1,1,1,1,1,1,20210620,20210624
2816277,1,1,1,1,1,1,1,20210625,20220903
2816287,1,1,1,1,1,1,1,20210620,20210624
2816288,1,1,1,1,1,1,1,20210625,20220903
2816273,1,1,1,1,1,1,1,20210620,20210624
2816274,1,1,1,1,1,1,1,20210625,20220903
2819426,0,0,0,0,0,1,1,20220604,20230604
2816271,1,1,1,1,1,1,1,20210620,20210624
2816272,1,1,1,1,1,1,1,20210625,20220903
2816284,1,1,1,1,1,1,1,20210620,20210624
2816285,1,1,1,1,1,1,1,20210625,20220903
2819411,1,1,1,1,1,0,0,20220603,20230603
2819414,0,0,0,0,0,1,1,20220604,20230604
2819432,1,1,1,1,1,1,1,20220603,20230603
2819420,1,1,1,1,1,1,1,20220603,20230603
2819428,1,1,1,1,1,1,1,20220603,20230603
2819417,1,1,1,1,1,1,1,20220603,20230603
2819085,0,0,0,0,0,1,1,20210816,20210821
2819087,0,0,0,0,0,1,1,20210828,20220903
2810133,1,0,0,0,0,0,0,20210906,20210906
2819079,0,0,0,0,0,0,1,20210816,20210816
2819081,0,0,0,0,0,0,1,20210829,20210829
2810117,1,0,0,0,0,0,0,20210906,20210906
2810118,0,0,0,0,0,0,1,20210912,20220912
2820194,1,1,1,1,0,0,0,20210828,20210901
2816432,1,1,1,1,0,0,0,20210907,20220907
2819094,0,0,0,0,0,0,1,20210816,20210816
2819096,0,0,0,0,0,0,1,20210829,20210829
2810166,1,0,0,0,0,0,0,20210906,20210906
2810161,0,0,0,0,0,0,1,20210912,20220912
2820170,1,1,1,1,1,0,0,20210828,20210901
2820172,0,0,0,0,1,0,0,20210903,20210903
2810071,1,1,1,1,1,0,0,20210907,20220907
2819091,0,0,0,0,0,0,1,20210816,20210816
2819093,0,0,0,0,0,0,1,20210829,20210829
2810159,1,0,0,0,0,0,0,20210906,20210906
2810160,0,0,0,0,0,0,1,20210912,20220912
2819100,0,0,0,0,0,1,1,20210816,20210821
2819102,0,0,0,0,0,1,1,20210828,20220903
2816434,1,0,0,0,0,0,0,20210906,20210906
2820173,1,1,1,1,1,0,0,20210828,20210901
2820175,0,0,0,0,1,0,0,20210903,20210903
2810076,1,1,1,1,1,0,0,20210907,20220907
2819088,0,0,0,0,0,1,1,20210816,20210821
2819090,0,0,0,0,0,1,1,20210828,20210905
2810153,1,0,0,0,0,0,0,20210906,20210906
2815243,0,0,0,0,0,1,1,20210911,20220911
2810106,0,0,0,0,0,1,0,20210403,20220903
2810107,0,0,0,0,0,0,1,20210530,20210530
2810108,0,0,0,0,0,0,1,20210704,20210704
2810109,0,0,0,0,0,0,1,20210905,20210905
2819097,0,0,0,0,0,1,1,20210816,20210821
2819099,0,0,0,0,0,1,1,20210828,20220903
2810184,1,0,0,0,0,0,0,20210906,20210906
2819076,0,0,0,0,0,0,1,20210816,20210816
2819078,0,0,0,0,0,0,1,20210829,20210829
2810102,1,0,0,0,0,0,0,20210906,20210906
2810103,0,0,0,0,0,0,1,20210912,20220912
2810126,0,0,0,0,0,1,0,20210403,20220903
2810127,0,0,0,0,0,0,1,20210530,20210530
2810128,0,0,0,0,0,0,1,20210704,20210704
2810129,0,0,0,0,0,0,1,20210905,20210905
2820191,1,1,1,1,1,0,0,20210828,20210901
2820193,0,0,0,0,1,0,0,20210903,20210903
2810180,1,1,1,1,1,0,0,20210907,20220907
2820184,1,1,1,1,1,0,0,20210828,20210901
2820183,0,0,0,0,1,0,0,20210903,20210903
2810093,1,1,1,1,1,0,0,20210907,20220907
2820188,1,1,1,1,1,0,0,20210828,20210901
2820190,0,0,0,0,1,0,0,20210903,20210903
2810170,1,1,1,1,1,0,0,20210907,20220907
2820179,1,1,1,1,1,0,0,20210828,20210901
2820181,0,0,0,0,1,0,0,20210903,20210903
2810087,1,1,1,1,1,0,0,20210907,20220907
2820185,1,1,1,1,1,0,0,20210828,20210901
2820187,0,0,0,0,1,0,0,20210903,20210903
2810144,1,1,1,1,1,0,0,20210907,20220907
