from_stop_id,to_stop_id,transfer_type,min_transfer_time
ABE,ABE,0,
ABQ,ABQ,2,60
ACA,ACA,2,120
ACD,ACD,0,
ADM,ADM,0,
AKY,AKY,0,
ALB,ALB,2,50
ALC,ALC,0,
ALD,ALD,0,
ALI,ALI,2,120
ALN,ALN,0,
ALP,ALP,0,
ALT,ALT,2,180
ALX,ALX,2,60
ALY,ALY,2,180
AMS,AMS,0,
ANA,ANA,2,120
APP,APP,0,
ARB,ARB,2,60
ARC,ARC,0,
ARD,ARD,0,
ARK,ARK,0,
ARN,ARN,0,
ASD,ASD,0,
ATA,ATA,0,
ATL,ATL,2,120
ATN,ATN,0,
AUS,AUS,2,120
AWN,AWN,0,
BAL,BAL,0,
BAM,BAM,0,
BAR,BAR,2,120
BBS,BBS,0,
BBY,BBY,2,120
BCV,BCV,0,
BDT,BDT,0,
BEL,BEL,0,
BEN,BEN,0,
BER,BER,0,
BET,BET,0,
BFD,BFD,2,120
BFW,BFW,0,
BFX,BFX,2,100
BHM,BHM,2,120
BKY,BKY,0,
BLF,BLF,0,
BLK,BLK,0,
BMT,BMT,0,
BNC,BNC,2,180
BNG,BNG,0,
BNL,BNL,2,30
BON,BON,2,50
BOS,BOS,2,39
BRA,BRA,0,
BRH,BRH,0,
BRK,BRK,0,
BRL,BRL,0,
BRO,BRO,0,
BRP,BRP,0,
BTL,BTL,2,50
BUF,BUF,2,60
BUL,BUL,0,
BUR,BUR,0,
BWI,BWI,2,50
BYN,BYN,0,
CAM,CAM,0,
CAS,CAS,0,
CBR,CBR,0,
CBS,CBS,2,60
CBZ,CBZ,0,
CDL,CDL,2,50
CEN,CEN,0,
CHD,CHD,0,
CHI,CHI,2,60
CHM,CHM,2,40
CHS,CHS,0,
CHW,CHW,2,120
CIC,CIC,0,
CIN,CIN,0,
CLA,CLA,0,
CLB,CLB,0,
CLE,CLE,2,45
CLF,CLF,0,
CLM,CLM,0,
CLP,CLP,0,
CLT,CLT,2,60
CLV,CLV,0,
CML,CML,0,
CMO,CMO,2,120
CNV,CNV,0,
COC,COC,2,120
COI,COI,0,
COT,COT,0,
COV,COV,0,
COX,COX,0,
CPN,CPN,0,
CRF,CRF,0,
CRM,CRM,0,
CRN,CRN,0,
CRT,CRT,0,
CRV,CRV,0,
CSN,CSN,0,
CTL,CTL,0,
CUM,CUM,0,
CUT,CUT,0,
CVS,CVS,2,50
CWH,CWH,0,
CWT,CWT,2,120
CYN,CYN,2,30
DAL,DAL,2,120
DAN,DAN,0,
DAV,DAV,2,57
DBP,DBP,0,
DBY,DBY,0,
DDE,DDE,0,
DDG,DDG,0,
DEB,DEB,2,120
DEM,DEM,0,
DEN,DEN,2,120
DER,DER,2,120
DET,DET,2,50
DFB,DFB,0,
DGS,DGS,0,
DHM,DHM,2,120
DIL,DIL,0,
DLB,DLB,0,
DLD,DLD,2,120
DLK,DLK,0,
DNC,DNC,0,
DNK,DNK,0,
DOA,DOA,0,
DOV,DOV,2,120
DOW,DOW,0,
DPE,DPE,0,
DQN,DQN,0,
DRD,DRD,0,
DRT,DRT,0,
DUN,DUN,0,
DVL,DVL,0,
DWT,DWT,0,
DYE,DYE,0,
EDM,EDM,2,120
EFG,EFG,0,
EKA,EKA,0,
EKG,EKG,0,
EKH,EKH,0,
ELK,ELK,0,
ELP,ELP,2,120
ELT,ELT,0,
ELY,ELY,0,
EMI,EMI,0,
EMY,EMY,2,120
EPH,EPH,0,
ERI,ERI,0,
ESG,ESG,0,
ESM,ESM,0,
ESX,ESX,0,
EUG,EUG,2,120
EVR,EVR,2,180
EWR,EWR,0,
EXR,EXR,2,120
EXT,EXT,0,
FAR,FAR,0,
FAY,FAY,0,
FBG,FBG,0,
FDL,FDL,0,
FED,FED,0,
FFV,FFV,0,
FIL,FIL,0,
FLG,FLG,2,120
FLN,FLN,0,
FLO,FLO,0,
FMD,FMD,0,
FMG,FMG,0,
FMT,FMT,0,
FNO,FNO,2,50
FRA,FRA,0,
FRE,FRE,0,
FRT,FRT,0,
FTA,FTA,0,
FTC,FTC,0,
FTL,FTL,0,
FTM,FTM,0,
FTN,FTN,0,
FTW,FTW,2,31
FUL,FUL,2,60
GAC,GAC,0,
GAS,GAS,0,
GBB,GBB,2,60
GBO,GBO,0,
GBV,GBV,0,
GBY,GBY,0,
GCK,GCK,0,
GDL,GDL,0,
GFD,GFD,0,
GFK,GFK,0,
GGW,GGW,0,
GJT,GJT,0,
GLE,GLE,2,180
GLM,GLM,0,
GLN,GLN,0,
GLP,GLP,0,
GLS,GLS,0,
GNB,GNB,0,
GNF,GNF,0,
GNS,GNS,0,
GPK,GPK,0,
GRA,GRA,0,
GRE,GRE,0,
GRI,GRI,0,
GRN,GRN,0,
GRO,GRO,2,120
GRR,GRR,0,
GRV,GRV,0,
